Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
hdhelper.exe	4.7.0.4	HD Helper	-	77	1823	-
lc.exe	4.7.3081.0	Microsoft .NET Framework	Operating System	1	67	-
nvprofileupdater64.exe	37.0.0.0	NVIDIA driver profile updater	Utility & Device driver	5	34	-
dsregcmd.exe	10.0.16299.15	Microsoft Windows Operating System	Operating System	10	1902	-
docker-buildx.exe	0.0.0.0	unknown	-	10	76	-
nvprofileupdater64.exe	36.0.0.0	NVIDIA driver profile updater	Utility & Device driver	11	61	-
sedlauncher.exe	10.0.17134.10007	Microsoft Windows Operating System	Operating System	1	41	-
npcap-0.9982-oem.exe	5.0.9982.730	unknown	-	1	1	-
schtasks.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	1916	4780	-
e_yubkee.exe	1.2.3.0	E_UPBX02.EXE	-	2	61	-
csc.exe	8.0.50727.5483	Microsoft Visual Studio 2005	Development tool & Programming	98	329	-
setuputility.exe	14.7.3062.0	Microsoft .NET Framework 4.5	-	3	12	-
regieplugin.exe	12.1.3.0	HttpWatch Basic	-	1	1	-
makecab.exe	5.0.1.1	Microsoft Windows Operating System	Operating System	3	3	-
bluejeans.detector.exe	2.19.166.0	BlueJeans.Detector	-	14	23	-
am_delta_patch_1.313.1268.0.exe	1.313.1335.0	Microsoft Malware Protection	-	1	1	-
scbbund.exe	2019.12.28.5	Bloomberg Professional - SmartClient	-	4	33	-
ijpu.exe	2.8.0.0	IJPU	Utility & Device driver	1	2	-
autochk.exe	10.0.14393.2969	Microsoft Windows Operating System	Operating System	7	10	-
doskey.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	7	132	-
asm.exe	0.0.0.0	unknown	-	1	72	-
drvinst.exe	6.1.7601.22011	Microsoft Windows Operating System	Operating System	11	69	-
awk.exe	0.0.0.0	unknown	Network application	1	1	-
wsreset.exe	10.0.17763.592	Microsoft Windows Operating System	Operating System	1	1	-
lulnchr.exe	2.45.17.0	Logitech Updater (LU)	Utility & Device driver	5	27	-
hkcmd.exe	8.15.10.3383	Intel Common User Interface	Utility & Device driver	2	3	-
ptupdate.exe	3905.15.1910.2900	webex ptUpdate	Instant messaging & Video-conferencing	2	20	-
git-sh-i18n--envsubst.exe	2.16.1.1	Git	-	36	440	-
vshivestub.exe	16.4.1059.49027	unknown	-	4	17	-
ssdt-setup-enu.exe	14.0.16203.0	Microsoft SQL Server Data Tools - Visual Studio 2017	-	1	1	-
typescript_sdk.exe	3.7.3.0	TypeScript SDK 3.7.3.0	-	1	2	-
pdapp.exe	6.2.136.0	Adobe Application Manager	-	1	1	-
preparation.exe	14.0.25420.1	Microsoft Visual Studio Preparation	-	2	3	-
vsdebugwerhelper.exe	16.5.20319.3	Microsoft Visual Studio	-	1	4	-
googleupdatebroker.exe	1.3.35.451	Google Update	-	10	24	-
btatherosinstall.exe	0.0.0.0	unknown	-	1	37	-
pcwrun.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	3	4	-
wermgr.exe	10.0.17134.885	Microsoft Windows Operating System	Operating System	1	2	-
