Executable name	Version	Number of executions	Average memory usage per execution [bytes]	Number of devices	Application name
officeclicktorun.exe	16.0.11929.20586	224	20184481	17	Microsoft Office
winproj.exe	14.0.4751.1000	5	19883622	2	Microsoft Office 2010
msosync.exe	16.0.12008.20000	1	19660800	1	Microsoft Office
lynchtmlconv.exe	15.0.5163.1000	2593	19303136	328	Microsoft Office 2013
msouc.exe	16.0.11328.20512	4	18699605	3	Microsoft Office
ucmapi.exe	15.0.5223.1000	22	18662865	2	Microsoft Office 2013
groove.exe	16.0.12231.20000	2	18612224	1	Microsoft Office
ucmapi.exe	16.0.12703.20010	8	18563072	1	Microsoft Office
lynchtmlconv.exe	16.0.12527.20278	5	18197162	1	Microsoft Office
ucmapi.exe	16.0.12231.20000	9	18137088	1	Microsoft Office
officeclicktorun.exe	16.0.11328.20390	4	18087936	1	Microsoft Office
excel.exe	16.0.10730.20304	3	18087936	1	Microsoft Office
ucmapi.exe	16.0.12325.20298	1	17956864	1	Microsoft Office
msaccess.exe	14.0.7015.1000	11	17498112	7	Microsoft Office 2010
ucmapi.exe	16.0.12527.20278	4	17465344	1	Microsoft Office
officeclicktorun.exe	16.0.12325.20280	30	17364855	3	Microsoft Office
msosync.exe	16.0.11328.20468	6	17126741	1	Microsoft Office
msosync.exe	16.0.11929.20300	1	17039360	1	Microsoft Office
mspub.exe	15.0.4763.1000	4	16678912	2	Microsoft Office 2013
officeclicktorun.exe	16.0.11328.20438	102	16646144	26	Microsoft Office
officeclicktorun.exe	16.0.11929.20554	2204	16638910	232	Microsoft Office
ucmapi.exe	16.0.11328.20554	242	16213879	29	Microsoft Office
officeclicktorun.exe	16.0.10730.20304	4	16089088	1	Microsoft Office
ucmapi.exe	16.0.11929.20648	134	16043114	15	Microsoft Office
excelcnv.exe	16.0.11929.20606	24	15979861	1	Microsoft Office
msosync.exe	16.0.11328.20554	6	15974400	2	Microsoft Office
msosync.exe	16.0.11328.20554	14	15908864	6	Microsoft Office
msosync.exe	16.0.11929.20648	2	15859712	1	Microsoft Office
lync.exe	16.0.11328.20480	5	15767961	1	Microsoft Office
msosync.exe	16.0.12527.20278	2	15761408	1	Microsoft Office
ucmapi.exe	16.0.11929.20562	1024	15742965	120	Microsoft Office
msosync.exe	16.0.11328.20512	141	15675707	39	Microsoft Office
msosync.exe	16.0.11929.20606	1	15663104	1	Microsoft Office
ucmapi.exe	16.0.12430.20184	30	15634705	1	Microsoft Office
msosync.exe	16.0.9126.2295	4	15597568	1	Microsoft Office 2016
groove.exe	14.0.7011.1000	8	15114240	1	Microsoft Office 2010
msosync.exe	16.0.11328.20512	1550	15075207	237	Microsoft Office
msosync.exe	16.0.11929.20648	21	14832981	5	Microsoft Office
msosync.exe	16.0.12325.20298	3	14789290	1	Microsoft Office
msosync.exe	16.0.11929.20562	77	14660403	15	Microsoft Office
ucmapi.exe	16.0.11328.20512	8499	14582735	727	Microsoft Office
ucmapi.exe	16.0.11328.20368	3089	14507727	291	Microsoft Office
officeclicktorun.exe	16.0.9126.2295	33	14381980	4	Microsoft Office
msosync.exe	16.0.11328.20368	58	14340247	8	Microsoft Office
msosync.exe	16.0.11929.20562	127	14295170	20	Microsoft Office
ucmapi.exe	16.0.11929.20606	77	14280811	8	Microsoft Office
msosync.exe	16.0.11929.20606	10	14278656	2	Microsoft Office
namecontrolserver.exe	16.0.12430.20264	3	14068394	1	Microsoft Office
msosync.exe	16.0.12430.20184	21	14044364	1	Microsoft Office
lynchtmlconv.exe	16.0.12703.20010	3	14024704	1	Microsoft Office
msosync.exe	16.0.11328.20368	738	13898050	118	Microsoft Office
ucmapi.exe	16.0.11929.20606	49	13852170	4	Microsoft Office
ucmapi.exe	16.0.11929.20562	684	13840277	71	Microsoft Office
hxtsr.exe	16.0.12624.20368	3147	13750644	48	Microsoft Office
ocpubmgr.exe	16.0.11328.20368	27	13692169	4	Microsoft Office
lync.exe	16.0.11328.20392	3	13653333	1	Microsoft Office
