Platform	Name	Entity	Last IP address	Device type	Device model	CPU model	Total RAM [bytes]	Hard disks	OS version and architecture	DXS - Web browsing (DXS - Web browsing)	DXS - Business apps (DXS - Business apps)	DXS - Device (DXS - Device)	DXS - Productivity (DXS - Productivity)	Device (sentiment) (DXS - User sentiments)	Web browsing (sentiment) (DXS - User sentiments)	Business apps (sentiment) (DXS - User sentiments)	Productivity (sentiment) (DXS - User sentiments)	Security (sentiment) (DXS - User sentiments)	Employee Satisfaction (DXS - User sentiments)	DXS - Security (DXS - Security)	OS name
Windows	TXHQSBAXTER-L3	Houston - 910 Corp (TX)	10.132.249.93	laptop	Latitude E7250	Intel Core i5-5300U CPU @ 2.30GHz	17179869184	Samsung (232.9GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)			9.6162		10	10	10	10	10		10	Windows 10
Windows	TXHQSBOUVIER-L2	VPN (TX)	10.99.84.64	laptop	Latitude E7440	Intel Core i7-4600U CPU @ 2.10GHz	4294967296	Samsung (119.2GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.7189	8.50859	8.5283	6.1013	10	10	10	10	10		0	Windows 10
Windows	TXHQSBROWN1-L2	VPN (TX)	10.99.85.15	laptop	Latitude E6430	Intel Core i5-3320M CPU @ 2.60GHz	8589934592	Intel (111.8GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	5.70479	9.4699	0	8.64366	10	10	10	10	10		9.4	Windows 10
Windows	TXHQSBROWN-L1	-	10.142.12.183	laptop	Latitude E7240	Intel Core i5-4300U CPU @ 1.90GHz	8589934592	SK hynix SC210 mSATA 128GB (119.2GB, 80% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	8.35574	9.70037	9.70395	9.51726	10	10	10	10	10		9.4	Windows 10
Windows	TXHQSBURKLEY-L1	VPN (TX)	10.72.0.79	laptop	Latitude E7440	Intel Core i5-4300U CPU @ 1.90GHz	8589934592	Samsung (119.2GB, 70% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	4.9375	9.55535	0	8.90782	10	10	10	10	10		10	Windows 10
Windows	TXHQSBURNS-L2	VPN (TX)	10.99.87.189	laptop	Latitude E7250	Intel Core i5-5300U CPU @ 2.30GHz	8589934592	Samsung (232.9GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	8.18667	9.09661	0	8.42348	10	10	10	10	10		7.9	Windows 10
Windows	TXHQSBURUGU-L1	VPN (TX)	10.72.0.187	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	Toshiba (238.5GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	3.33333	9.27668	0	8.98239	10	10	10	10	10		8.8	Windows 10
Windows	TXHQSCHANG1-L3	-	73.76.251.150	laptop	Latitude E7440	Intel Core i5-4300U CPU @ 1.90GHz	8589934592	Samsung (119.2GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)			9.685								0	Windows 10
Windows	TXHQSCHAPA-L2	VPN (TX)	10.99.87.190	laptop	Latitude E7450	Intel Core i5-5200U CPU @ 2.20GHz	12884901888	Samsung (119.2GB, 90% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	3.30955	9.28836	4.98373	8.38157	10	10	10	10	10		7.6	Windows 10
Windows	TXHQSCHINNAH-L2	VPN (TX)	10.72.0.254	laptop	Latitude 7490	Intel Core i5-8350U CPU @ 1.70GHz	8589934592	SK hynix SC311 SATA 256GB (238.5GB, 100% S.M.A.R.T.), Generic Flash Disk USB Device (7.6GB)	Windows 10 Enterprise 1709 (64 bits)	5.88523	9.46399	0	8.96191	10	10	10	10	10		0	Windows 10
Windows	TXHQSCHMIL-D1	Houston - 910 Corp (TX)	10.132.60.131	desktop	OptiPlex 9020	Intel Core i7-4770S CPU @ 3.10GHz	17179869184	Samsung (119.2GB, 100% S.M.A.R.T.)	Windows 10 Enterprise 1709 (64 bits)	9.7628	9.96445	7.22298	9.607	10	10	10	10	10		10	Windows 10
